loser_page_id,loser_source_page_id,loser_book,duplicates_page_id,duplicates_book,duplicates_book_id,duplicates_source_db
6674,2633,"বাইবেল, কুরআন ও বিজ্ঞান",6206,কারাগারে রাতদিন,199,tarun
6720,2679,"বাইবেল, কুরআন ও বিজ্ঞান",6231,কারাগারে রাতদিন,199,tarun
6755,2714,"বাইবেল, কুরআন ও বিজ্ঞান",6521,আসান ফেকাহ (১ম খণ্ড),201,tarun
6756,2715,"বাইবেল, কুরআন ও বিজ্ঞান",6522,আসান ফেকাহ (১ম খণ্ড),201,tarun
6757,2716,"বাইবেল, কুরআন ও বিজ্ঞান",6523,আসান ফেকাহ (১ম খণ্ড),201,tarun
6758,2717,"বাইবেল, কুরআন ও বিজ্ঞান",6524,আসান ফেকাহ (১ম খণ্ড),201,tarun
6759,2718,"বাইবেল, কুরআন ও বিজ্ঞান",6525,আসান ফেকাহ (১ম খণ্ড),201,tarun
6760,2719,"বাইবেল, কুরআন ও বিজ্ঞান",6526,আসান ফেকাহ (১ম খণ্ড),201,tarun
6761,2720,"বাইবেল, কুরআন ও বিজ্ঞান",6527,আসান ফেকাহ (১ম খণ্ড),201,tarun
6762,2721,"বাইবেল, কুরআন ও বিজ্ঞান",6528,আসান ফেকাহ (১ম খণ্ড),201,tarun
6763,2722,"বাইবেল, কুরআন ও বিজ্ঞান",6529,আসান ফেকাহ (১ম খণ্ড),201,tarun
6764,2723,"বাইবেল, কুরআন ও বিজ্ঞান",6530,আসান ফেকাহ (১ম খণ্ড),201,tarun
6765,2724,"বাইবেল, কুরআন ও বিজ্ঞান",6531,আসান ফেকাহ (১ম খণ্ড),201,tarun
6766,2725,"বাইবেল, কুরআন ও বিজ্ঞান",6532,আসান ফেকাহ (১ম খণ্ড),201,tarun
6767,2726,"বাইবেল, কুরআন ও বিজ্ঞান",6533,আসান ফেকাহ (১ম খণ্ড),201,tarun
6768,2727,"বাইবেল, কুরআন ও বিজ্ঞান",6534,আসান ফেকাহ (১ম খণ্ড),201,tarun
6769,2728,"বাইবেল, কুরআন ও বিজ্ঞান",6535,আসান ফেকাহ (১ম খণ্ড),201,tarun
6770,2729,"বাইবেল, কুরআন ও বিজ্ঞান",6536,আসান ফেকাহ (১ম খণ্ড),201,tarun
6771,2730,"বাইবেল, কুরআন ও বিজ্ঞান",6537,আসান ফেকাহ (১ম খণ্ড),201,tarun
6772,2731,"বাইবেল, কুরআন ও বিজ্ঞান",6538,আসান ফেকাহ (১ম খণ্ড),201,tarun
6773,2732,"বাইবেল, কুরআন ও বিজ্ঞান",6539,আসান ফেকাহ (১ম খণ্ড),201,tarun
6774,2733,"বাইবেল, কুরআন ও বিজ্ঞান",6540,আসান ফেকাহ (১ম খণ্ড),201,tarun
6775,2734,"বাইবেল, কুরআন ও বিজ্ঞান",6541,আসান ফেকাহ (১ম খণ্ড),201,tarun
6776,2735,"বাইবেল, কুরআন ও বিজ্ঞান",6542,আসান ফেকাহ (১ম খণ্ড),201,tarun
6777,2736,"বাইবেল, কুরআন ও বিজ্ঞান",6543,আসান ফেকাহ (১ম খণ্ড),201,tarun
6778,2737,"বাইবেল, কুরআন ও বিজ্ঞান",6544,আসান ফেকাহ (১ম খণ্ড),201,tarun
6779,2738,"বাইবেল, কুরআন ও বিজ্ঞান",6545,আসান ফেকাহ (১ম খণ্ড),201,tarun
6780,2739,"বাইবেল, কুরআন ও বিজ্ঞান",6546,আসান ফেকাহ (১ম খণ্ড),201,tarun
6781,2740,"বাইবেল, কুরআন ও বিজ্ঞান",6547,আসান ফেকাহ (১ম খণ্ড),201,tarun
6782,2741,"বাইবেল, কুরআন ও বিজ্ঞান",6548,আসান ফেকাহ (১ম খণ্ড),201,tarun
6783,2742,"বাইবেল, কুরআন ও বিজ্ঞান",6549,আসান ফেকাহ (১ম খণ্ড),201,tarun
6784,2743,"বাইবেল, কুরআন ও বিজ্ঞান",6550,আসান ফেকাহ (১ম খণ্ড),201,tarun
6785,2744,"বাইবেল, কুরআন ও বিজ্ঞান",6551,আসান ফেকাহ (১ম খণ্ড),201,tarun
6786,2745,"বাইবেল, কুরআন ও বিজ্ঞান",6552,আসান ফেকাহ (১ম খণ্ড),201,tarun
6787,2746,"বাইবেল, কুরআন ও বিজ্ঞান",6553,আসান ফেকাহ (১ম খণ্ড),201,tarun
6788,2747,"বাইবেল, কুরআন ও বিজ্ঞান",6554,আসান ফেকাহ (১ম খণ্ড),201,tarun
6789,2748,"বাইবেল, কুরআন ও বিজ্ঞান",6555,আসান ফেকাহ (১ম খণ্ড),201,tarun
6790,2749,"বাইবেল, কুরআন ও বিজ্ঞান",6556,আসান ফেকাহ (১ম খণ্ড),201,tarun
6791,2750,"বাইবেল, কুরআন ও বিজ্ঞান",6557,আসান ফেকাহ (১ম খণ্ড),201,tarun
6792,2751,"বাইবেল, কুরআন ও বিজ্ঞান",6558,আসান ফেকাহ (১ম খণ্ড),201,tarun
6793,2752,"বাইবেল, কুরআন ও বিজ্ঞান",6559,আসান ফেকাহ (১ম খণ্ড),201,tarun
6794,2753,"বাইবেল, কুরআন ও বিজ্ঞান",6560,আসান ফেকাহ (১ম খণ্ড),201,tarun
6795,2754,"বাইবেল, কুরআন ও বিজ্ঞান",6561,আসান ফেকাহ (১ম খণ্ড),201,tarun
6796,2755,"বাইবেল, কুরআন ও বিজ্ঞান",6562,আসান ফেকাহ (১ম খণ্ড),201,tarun
6797,2756,"বাইবেল, কুরআন ও বিজ্ঞান",6563,আসান ফেকাহ (১ম খণ্ড),201,tarun
6798,2757,"বাইবেল, কুরআন ও বিজ্ঞান",6564,আসান ফেকাহ (১ম খণ্ড),201,tarun
6799,2758,"বাইবেল, কুরআন ও বিজ্ঞান",6565,আসান ফেকাহ (১ম খণ্ড),201,tarun
6800,2759,"বাইবেল, কুরআন ও বিজ্ঞান",6566,আসান ফেকাহ (১ম খণ্ড),201,tarun
6801,2760,"বাইবেল, কুরআন ও বিজ্ঞান",6567,আসান ফেকাহ (১ম খণ্ড),201,tarun
6802,2761,"বাইবেল, কুরআন ও বিজ্ঞান",6568,আসান ফেকাহ (১ম খণ্ড),201,tarun
6803,2762,"বাইবেল, কুরআন ও বিজ্ঞান",6569,আসান ফেকাহ (১ম খণ্ড),201,tarun
6804,2763,"বাইবেল, কুরআন ও বিজ্ঞান",6570,আসান ফেকাহ (১ম খণ্ড),201,tarun
6805,2764,"বাইবেল, কুরআন ও বিজ্ঞান",6571,আসান ফেকাহ (১ম খণ্ড),201,tarun
6806,2765,"বাইবেল, কুরআন ও বিজ্ঞান",6572,আসান ফেকাহ (১ম খণ্ড),201,tarun
6807,2766,"বাইবেল, কুরআন ও বিজ্ঞান",6573,আসান ফেকাহ (১ম খণ্ড),201,tarun
6808,2767,"বাইবেল, কুরআন ও বিজ্ঞান",6574,আসান ফেকাহ (১ম খণ্ড),201,tarun
6809,2768,"বাইবেল, কুরআন ও বিজ্ঞান",6575,আসান ফেকাহ (১ম খণ্ড),201,tarun
6810,2769,"বাইবেল, কুরআন ও বিজ্ঞান",6576,আসান ফেকাহ (১ম খণ্ড),201,tarun
6811,2770,"বাইবেল, কুরআন ও বিজ্ঞান",6577,আসান ফেকাহ (১ম খণ্ড),201,tarun
6812,2771,"বাইবেল, কুরআন ও বিজ্ঞান",6578,আসান ফেকাহ (১ম খণ্ড),201,tarun
6813,2772,"বাইবেল, কুরআন ও বিজ্ঞান",6579,আসান ফেকাহ (১ম খণ্ড),201,tarun
6814,2773,"বাইবেল, কুরআন ও বিজ্ঞান",6580,আসান ফেকাহ (১ম খণ্ড),201,tarun
6815,2774,"বাইবেল, কুরআন ও বিজ্ঞান",6581,আসান ফেকাহ (১ম খণ্ড),201,tarun
6816,2775,"বাইবেল, কুরআন ও বিজ্ঞান",6582,আসান ফেকাহ (১ম খণ্ড),201,tarun
6817,2776,"বাইবেল, কুরআন ও বিজ্ঞান",6583,আসান ফেকাহ (১ম খণ্ড),201,tarun
6818,2777,"বাইবেল, কুরআন ও বিজ্ঞান",6584,আসান ফেকাহ (১ম খণ্ড),201,tarun
6819,2778,"বাইবেল, কুরআন ও বিজ্ঞান",6585,আসান ফেকাহ (১ম খণ্ড),201,tarun
6820,2779,"বাইবেল, কুরআন ও বিজ্ঞান",6586,আসান ফেকাহ (১ম খণ্ড),201,tarun
6821,2780,"বাইবেল, কুরআন ও বিজ্ঞান",6587,আসান ফেকাহ (১ম খণ্ড),201,tarun
6822,2781,"বাইবেল, কুরআন ও বিজ্ঞান",6588,আসান ফেকাহ (১ম খণ্ড),201,tarun
6823,2782,"বাইবেল, কুরআন ও বিজ্ঞান",6589,আসান ফেকাহ (১ম খণ্ড),201,tarun
6824,2783,"বাইবেল, কুরআন ও বিজ্ঞান",6590,আসান ফেকাহ (১ম খণ্ড),201,tarun
6825,2784,"বাইবেল, কুরআন ও বিজ্ঞান",6591,আসান ফেকাহ (১ম খণ্ড),201,tarun
6826,2785,"বাইবেল, কুরআন ও বিজ্ঞান",6592,আসান ফেকাহ (১ম খণ্ড),201,tarun
6827,2786,"বাইবেল, কুরআন ও বিজ্ঞান",6593,আসান ফেকাহ (১ম খণ্ড),201,tarun
6828,2787,"বাইবেল, কুরআন ও বিজ্ঞান",6594,আসান ফেকাহ (১ম খণ্ড),201,tarun
6829,2788,"বাইবেল, কুরআন ও বিজ্ঞান",6595,আসান ফেকাহ (১ম খণ্ড),201,tarun
6830,2789,"বাইবেল, কুরআন ও বিজ্ঞান",6596,আসান ফেকাহ (১ম খণ্ড),201,tarun
6831,2790,"বাইবেল, কুরআন ও বিজ্ঞান",6597,আসান ফেকাহ (১ম খণ্ড),201,tarun
6832,2791,"বাইবেল, কুরআন ও বিজ্ঞান",6598,আসান ফেকাহ (১ম খণ্ড),201,tarun
6833,2792,"বাইবেল, কুরআন ও বিজ্ঞান",6599,আসান ফেকাহ (১ম খণ্ড),201,tarun
6834,2793,"বাইবেল, কুরআন ও বিজ্ঞান",6600,আসান ফেকাহ (১ম খণ্ড),201,tarun
6835,2794,"বাইবেল, কুরআন ও বিজ্ঞান",6601,আসান ফেকাহ (১ম খণ্ড),201,tarun
6836,2795,"বাইবেল, কুরআন ও বিজ্ঞান",6602,আসান ফেকাহ (১ম খণ্ড),201,tarun
6837,2796,"বাইবেল, কুরআন ও বিজ্ঞান",6603,আসান ফেকাহ (১ম খণ্ড),201,tarun
6838,2797,"বাইবেল, কুরআন ও বিজ্ঞান",6604,আসান ফেকাহ (১ম খণ্ড),201,tarun
6839,2798,"বাইবেল, কুরআন ও বিজ্ঞান",6605,আসান ফেকাহ (১ম খণ্ড),201,tarun
6840,2799,"বাইবেল, কুরআন ও বিজ্ঞান",6606,আসান ফেকাহ (১ম খণ্ড),201,tarun
6841,2800,"বাইবেল, কুরআন ও বিজ্ঞান",6607,আসান ফেকাহ (১ম খণ্ড),201,tarun
6842,2801,"বাইবেল, কুরআন ও বিজ্ঞান",6608,আসান ফেকাহ (১ম খণ্ড),201,tarun
6843,2802,"বাইবেল, কুরআন ও বিজ্ঞান",6609,আসান ফেকাহ (১ম খণ্ড),201,tarun
6844,2803,"বাইবেল, কুরআন ও বিজ্ঞান",6610,আসান ফেকাহ (১ম খণ্ড),201,tarun
6845,2804,"বাইবেল, কুরআন ও বিজ্ঞান",6611,আসান ফেকাহ (১ম খণ্ড),201,tarun
6846,2805,"বাইবেল, কুরআন ও বিজ্ঞান",6612,আসান ফেকাহ (১ম খণ্ড),201,tarun
6847,2806,"বাইবেল, কুরআন ও বিজ্ঞান",6613,আসান ফেকাহ (১ম খণ্ড),201,tarun
6848,2807,"বাইবেল, কুরআন ও বিজ্ঞান",6614,আসান ফেকাহ (১ম খণ্ড),201,tarun
6849,2808,"বাইবেল, কুরআন ও বিজ্ঞান",6615,আসান ফেকাহ (১ম খণ্ড),201,tarun
6850,2809,"বাইবেল, কুরআন ও বিজ্ঞান",6616,আসান ফেকাহ (১ম খণ্ড),201,tarun
6851,2810,"বাইবেল, কুরআন ও বিজ্ঞান",6617,আসান ফেকাহ (১ম খণ্ড),201,tarun
6852,2811,"বাইবেল, কুরআন ও বিজ্ঞান",6618,আসান ফেকাহ (১ম খণ্ড),201,tarun
6853,2812,"বাইবেল, কুরআন ও বিজ্ঞান",6619,আসান ফেকাহ (১ম খণ্ড),201,tarun
6854,2813,"বাইবেল, কুরআন ও বিজ্ঞান",6620,আসান ফেকাহ (১ম খণ্ড),201,tarun
6855,2814,"বাইবেল, কুরআন ও বিজ্ঞান",6621,আসান ফেকাহ (১ম খণ্ড),201,tarun
6856,2815,"বাইবেল, কুরআন ও বিজ্ঞান",6622,আসান ফেকাহ (১ম খণ্ড),201,tarun
6857,2816,"বাইবেল, কুরআন ও বিজ্ঞান",6623,আসান ফেকাহ (১ম খণ্ড),201,tarun
6858,2817,"বাইবেল, কুরআন ও বিজ্ঞান",6624,আসান ফেকাহ (১ম খণ্ড),201,tarun
